SAMPLE DATE,COMMODITY,LAB NUMBER,STATE/COUNTRY OF ORIGIN,GROWER CITY,ORGANIC COMMODITY,ILLEGAL CASE NUMBER,BRANDNAME,COLLECTION SITE NAME,COLLECTION SITE CITY,COLLECTION SITE TYPE,ANALYSIS TYPE,PESTICIDE SCREEN,CHEMICAL DETECTED (IF ANY),AMOUNT OF CHEMICAL DETECTED (PPM),U.S. EPA TOLERANCE LEVEL (PPM),MINIMUM DETECTION LIMIT (PPM)
6-Jan-14,KALE,2140001,California,Riverside,No,,Display Area,City of Bellflower (CFM),Bellflower,Farmers Market,Basic Screening,LCMSMS,PYRACLOSTROBIN,0.295,16,0.01
6-Jan-14,KALE,2140001,California,Riverside,No,,Display Area,City of Bellflower (CFM),Bellflower,Farmers Market,Basic Screening,LCMSMS,SPIROTETRAMAT,0.016,8,0.01
6-Jan-14,KALE,2140001,California,Riverside,No,,Display Area,City of Bellflower (CFM),Bellflower,Farmers Market,Basic Screening,LCMSMS,FLUOPICOLIDE,1.01,18,0.01
6-Jan-14,KALE,2140001,California,Riverside,No,,Display Area,City of Bellflower (CFM),Bellflower,Farmers Market,Basic Screening,LCMSMS,FLUBENDIAMIDE,1.28,25,0.01
6-Jan-14,KALE,2140001,California,Riverside,No,,Display Area,City of Bellflower (CFM),Bellflower,Farmers Market,Basic Screening,Chlorinated Hydrocarbons,,0,,
6-Jan-14,KALE,2140001,California,Riverside,No,,Display Area,City of Bellflower (CFM),Bellflower,Farmers Market,Basic Screening,Organophosphates,,0,,
6-Jan-14,STRAWBERRY (ALL OR UNSPEC),2140002,California,Santa Maria,No,,Display area,City of Bellflower (CFM),Bellflower,Farmers Market,Basic Screening,Chlorinated Hydrocarbons,CAPTAN,0.39,20,0.02
6-Jan-14,STRAWBERRY (ALL OR UNSPEC),2140002,California,Santa Maria,No,,Display area,City of Bellflower (CFM),Bellflower,Farmers Market,Basic Screening,LCMSMS,SPIROMESIFEN,0.824,2,0.01
6-Jan-14,STRAWBERRY (ALL OR UNSPEC),2140002,California,Santa Maria,No,,Display area,City of Bellflower (CFM),Bellflower,Farmers Market,Basic Screening,Organophosphates,,0,,
6-Jan-14,STRAWBERRY (ALL OR UNSPEC),2140002,California,Santa Maria,No,,Display area,City of Bellflower (CFM),Bellflower,Farmers Market,Basic Screening,LCMSMS,BIFENAZATE,1.09,1.5,0.01
6-Jan-14,STRAWBERRY (ALL OR UNSPEC),2140002,California,Santa Maria,No,,Display area,City of Bellflower (CFM),Bellflower,Farmers Market,Basic Screening,LCMSMS,METHOXYFENOZIDE,0.143,2,0.01
6-Jan-14,ORANGE (ALL OR UNSPEC),2140003,California,Arvin,No,,Display Area,City of Bellflower (CFM),Bellflower,Farmers Market,Basic Screening,Chlorinated Hydrocarbons,,0,,
6-Jan-14,ORANGE (ALL OR UNSPEC),2140003,California,Arvin,No,,Display Area,City of Bellflower (CFM),Bellflower,Farmers Market,Basic Screening,LCMSMS,,0,,
6-Jan-14,ORANGE (ALL OR UNSPEC),2140003,California,Arvin,No,,Display Area,City of Bellflower (CFM),Bellflower,Farmers Market,Basic Screening,Organophosphates,,0,,
6-Jan-14,"PEAR, ASIAN (ORIENTAL PEAR)",2140004,California,Kingsburg,No,,Display area,City of Bellflower (CFM),Bellflower,Farmers Market,Basic Screening,Organophosphates,,0,,
6-Jan-14,"PEAR, ASIAN (ORIENTAL PEAR)",2140004,California,Kingsburg,No,,Display area,City of Bellflower (CFM),Bellflower,Farmers Market,Basic Screening,Chlorinated Hydrocarbons,,0,,
6-Jan-14,"PEAR, ASIAN (ORIENTAL PEAR)",2140004,California,Kingsburg,No,,Display area,City of Bellflower (CFM),Bellflower,Farmers Market,Basic Screening,LCMSMS,,0,,
6-Jan-14,SPINACH,2140005,California,Highland,No,,Display area,City of Bellflower (CFM),Bellflower,Farmers Market,Basic Screening,Chlorinated Hydrocarbons,,0,,
6-Jan-14,SPINACH,2140005,California,Highland,No,,Display area,City of Bellflower (CFM),Bellflower,Farmers Market,Basic Screening,Organophosphates,,0,,
6-Jan-14,SPINACH,2140005,California,Highland,No,,Display area,City of Bellflower (CFM),Bellflower,Farmers Market,Basic Screening,LCMSMS,CYROMAZINE,0.077,7,0.01
6-Jan-14,"LETTUCE, ROMAINE OR COS",2140006,California,Highland,No,,Display Area,City of Bellflower (CFM),Bellflower,Farmers Market,Basic Screening,Organophosphates,,0,,
6-Jan-14,"LETTUCE, ROMAINE OR COS",2140006,California,Highland,No,,Display Area,City of Bellflower (CFM),Bellflower,Farmers Market,Basic Screening,Chlorinated Hydrocarbons,,0,,
6-Jan-14,"LETTUCE, ROMAINE OR COS",2140006,California,Highland,No,,Display Area,City of Bellflower (CFM),Bellflower,Farmers Market,Basic Screening,LCMSMS,DIMETHOMORPH,0.046,10,0.01
6-Jan-14,"LETTUCE, ROMAINE OR COS",2140006,California,Highland,No,,Display Area,City of Bellflower (CFM),Bellflower,Farmers Market,Basic Screening,LCMSMS,FAMOXADONE,0.201,25,0.02
6-Jan-14,ORANGE (ALL OR UNSPEC),2140007,California,Fallbrook,No,,Display Area,City of Bellflower (CFM),Bellflower,Farmers Market,Basic Screening,LCMSMS,,0,,
6-Jan-14,ORANGE (ALL OR UNSPEC),2140007,California,Fallbrook,No,,Display Area,City of Bellflower (CFM),Bellflower,Farmers Market,Basic Screening,Organophosphates,,0,,
6-Jan-14,ORANGE (ALL OR UNSPEC),2140007,California,Fallbrook,No,,Display Area,City of Bellflower (CFM),Bellflower,Farmers Market,Basic Screening,Chlorinated Hydrocarbons,,0,,
6-Jan-14,MUSHROOMS,2140008,California,,No,,Monterey,Trader Joe's,Fontana,Chain Distribution,Basic Screening,Chlorinated Hydrocarbons,,0,,
6-Jan-14,MUSHROOMS,2140008,California,,No,,Monterey,Trader Joe's,Fontana,Chain Distribution,Basic Screening,Organophosphates,,0,,
6-Jan-14,MUSHROOMS,2140008,California,,No,,Monterey,Trader Joe's,Fontana,Chain Distribution,Basic Screening,LCMSMS,CYROMAZINE,0.3,1,0.01
6-Jan-14,MUSHROOMS,2140008,California,,No,,Monterey,Trader Joe's,Fontana,Chain Distribution,Basic Screening,LCMSMS,THIABENDAZOLE,0.488,40,0.01
6-Jan-14,SPINACH,2140009,United States,,No,,Trader Joes/Les Salades du Midi,Trader Joe's,Fontana,Chain Distribution,Basic Screening,LCMSMS,MANDIPROPAMID,1.59,20,0.01
6-Jan-14,SPINACH,2140009,United States,,No,,Trader Joes/Les Salades du Midi,Trader Joe's,Fontana,Chain Distribution,Basic Screening,LCMSMS,FENAMIDONE,0.145,60,0.02
6-Jan-14,SPINACH,2140009,United States,,No,,Trader Joes/Les Salades du Midi,Trader Joe's,Fontana,Chain Distribution,Basic Screening,LCMSMS,FAMOXADONE,0.094,50,0.02
6-Jan-14,SPINACH,2140009,United States,,No,,Trader Joes/Les Salades du Midi,Trader Joe's,Fontana,Chain Distribution,Basic Screening,Chlorinated Hydrocarbons,PERMETHRIN,0.3,20,0.02
6-Jan-14,SPINACH,2140009,United States,,No,,Trader Joes/Les Salades du Midi,Trader Joe's,Fontana,Chain Distribution,Basic Screening,Chlorinated Hydrocarbons,CYPERMETHRIN,0.29,10,0.02
6-Jan-14,SPINACH,2140009,United States,,No,,Trader Joes/Les Salades du Midi,Trader Joe's,Fontana,Chain Distribution,Basic Screening,Organophosphates,,0,,
6-Jan-14,SPINACH,2140009,United States,,No,,Trader Joes/Les Salades du Midi,Trader Joe's,Fontana,Chain Distribution,Basic Screening,LCMSMS,SPINETORAM,0.063,8,0.02
6-Jan-14,GRAPES,2140010,California,,No,,Trader Joe's/Pandol,Trader Joe's,Fontana,Chain Distribution,Basic Screening,LCMSMS,PYRIMETHANIL,0.137,5,0.01
6-Jan-14,GRAPES,2140010,California,,No,,Trader Joe's/Pandol,Trader Joe's,Fontana,Chain Distribution,Basic Screening,LCMSMS,BOSCALID,0.017,5,0.01
6-Jan-14,GRAPES,2140010,California,,No,,Trader Joe's/Pandol,Trader Joe's,Fontana,Chain Distribution,Basic Screening,Chlorinated Hydrocarbons,,0,,
6-Jan-14,GRAPES,2140010,California,,No,,Trader Joe's/Pandol,Trader Joe's,Fontana,Chain Distribution,Basic Screening,Organophosphates,,0,,
6-Jan-14,ONIONS (GREEN),2140011,Mexico,,No,,Trader Joe's,Trader Joe's,Fontana,Chain Distribution,Basic Screening,LCMSMS,CYROMAZINE,0.069,3,0.01
6-Jan-14,ONIONS (GREEN),2140011,Mexico,,No,,Trader Joe's,Trader Joe's,Fontana,Chain Distribution,Basic Screening,Chlorinated Hydrocarbons,,0,,
6-Jan-14,ONIONS (GREEN),2140011,Mexico,,No,,Trader Joe's,Trader Joe's,Fontana,Chain Distribution,Basic Screening,Organophosphates,,0,,
6-Jan-14,"PEA, SNOW (SUGAR PEA)",2140012,Mexico,,Yes,,Trader Joe's,Trader Joe's,Fontana,Chain Distribution,Basic Screening,Chlorinated Hydrocarbons,,0,,
6-Jan-14,"PEA, SNOW (SUGAR PEA)",2140012,Mexico,,Yes,,Trader Joe's,Trader Joe's,Fontana,Chain Distribution,Basic Screening,Organophosphates,,0,,
6-Jan-14,"PEA, SNOW (SUGAR PEA)",2140012,Mexico,,Yes,,Trader Joe's,Trader Joe's,Fontana,Chain Distribution,Basic Screening,LCMSMS,,0,,
6-Jan-14,PEAR,2140013,Washington,"Peshastin, WA",No,,Hi-Up/Upper Weratchee River Valley Pears,Trader Joe's,Fontana,Chain Distribution,Basic Screening,LCMSMS,THIABENDAZOLE,0.393,5,0.01
6-Jan-14,PEAR,2140013,Washington,"Peshastin, WA",No,,Hi-Up/Upper Weratchee River Valley Pears,Trader Joe's,Fontana,Chain Distribution,Basic Screening,LCMSMS,SPIRODICLOFEN,0.056,0.8,0.01
6-Jan-14,PEAR,2140013,Washington,"Peshastin, WA",No,,Hi-Up/Upper Weratchee River Valley Pears,Trader Joe's,Fontana,Chain Distribution,Basic Screening,Organophosphates,,0,,
6-Jan-14,PEAR,2140013,Washington,"Peshastin, WA",No,,Hi-Up/Upper Weratchee River Valley Pears,Trader Joe's,Fontana,Chain Distribution,Basic Screening,LCMSMS,PYRIMETHANIL,0.045,14,0.01
6-Jan-14,PEAR,2140013,Washington,"Peshastin, WA",No,,Hi-Up/Upper Weratchee River Valley Pears,Trader Joe's,Fontana,Chain Distribution,Basic Screening,LCMSMS,IMIDACLOPRID,0.037,0.6,0.02
6-Jan-14,PEAR,2140013,Washington,"Peshastin, WA",No,,Hi-Up/Upper Weratchee River Valley Pears,Trader Joe's,Fontana,Chain Distribution,Basic Screening,LCMSMS,FLUDIOXONIL,0.188,5,0.02
6-Jan-14,PEAR,2140013,Washington,"Peshastin, WA",No,,Hi-Up/Upper Weratchee River Valley Pears,Trader Joe's,Fontana,Chain Distribution,Basic Screening,LCMSMS,THIOPHANATE-METHYL,0.102,3,0.018
6-Jan-14,PEAR,2140013,Washington,"Peshastin, WA",No,,Hi-Up/Upper Weratchee River Valley Pears,Trader Joe's,Fontana,Chain Distribution,Basic Screening,Chlorinated Hydrocarbons,,0,,
6-Jan-14,TANGELO,2140014,California,,No,,Sunkist,Trader Joe's,Fontana,Chain Distribution,Basic Screening,LCMSMS,IMAZALIL,0.661,10,0.01
6-Jan-14,TANGELO,2140014,California,,No,,Sunkist,Trader Joe's,Fontana,Chain Distribution,Basic Screening,LCMSMS,CHLORPYRIFOS,0.044,1,0.02
6-Jan-14,TANGELO,2140014,California,,No,,Sunkist,Trader Joe's,Fontana,Chain Distribution,Basic Screening,Chlorinated Hydrocarbons,,0,,
6-Jan-14,TANGELO,2140014,California,,No,,Sunkist,Trader Joe's,Fontana,Chain Distribution,Basic Screening,Organophosphates,,0,,
6-Jan-14,TANGELO,2140014,California,,No,,Sunkist,Trader Joe's,Fontana,Chain Distribution,Basic Screening,LCMSMS,THIABENDAZOLE,2.79,10,0.01
6-Jan-14,TANGELO,2140014,California,,No,,Sunkist,Trader Joe's,Fontana,Chain Distribution,Basic Screening,LCMSMS,FLUDIOXONIL,0.053,10,0.02
6-Jan-14,CARROTS (ROOT CROP),R14M00001,United States,,No,,Safeway Farms,Safeway Distribution Center,Tracy,Chain Distribution,Basic Screening,GCMSMS,,0,,
6-Jan-14,CARROTS (ROOT CROP),R14M00001,United States,,No,,Safeway Farms,Safeway Distribution Center,Tracy,Chain Distribution,Basic Screening,LCMSMS,,0,,
6-Jan-14,TOMATILLO,R14M00002,Mexico,,No,,Cal Fresco,Safeway Distribution Center,Tracy,Chain Distribution,Basic Screening,LCMSMS,,0,,
6-Jan-14,TOMATILLO,R14M00002,Mexico,,No,,Cal Fresco,Safeway Distribution Center,Tracy,Chain Distribution,Basic Screening,GCMSMS,,0,,
6-Jan-14,ORANGE (ALL OR UNSPEC),R14M00003,United States,,No,,Sunkist,Safeway Distribution Center,Tracy,Chain Distribution,Basic Screening,LCMSMS,THIABENDAZOLE,0.721,10,0.01
6-Jan-14,ORANGE (ALL OR UNSPEC),R14M00003,United States,,No,,Sunkist,Safeway Distribution Center,Tracy,Chain Distribution,Basic Screening,GCMSMS,,0,,
6-Jan-14,ORANGE (ALL OR UNSPEC),R14M00003,United States,,No,,Sunkist,Safeway Distribution Center,Tracy,Chain Distribution,Basic Screening,LCMSMS,IMAZALIL,0.998,10,0.01
6-Jan-14,ORANGE (ALL OR UNSPEC),R14M00004,United States,,Yes,,Tomorrow's Organics,Safeway Distribution Center,Tracy,Chain Distribution,Basic Screening,LCMSMS,,0,,
6-Jan-14,ORANGE (ALL OR UNSPEC),R14M00004,United States,,Yes,,Tomorrow's Organics,Safeway Distribution Center,Tracy,Chain Distribution,Basic Screening,GCMSMS,,0,,
6-Jan-14,MUSHROOMS,R14M00005,United States,,Yes,,Organics,Safeway Distribution Center,Tracy,Chain Distribution,Basic Screening,LCMSMS,,0,,
6-Jan-14,MUSHROOMS,R14M00005,United States,,Yes,,Organics,Safeway Distribution Center,Tracy,Chain Distribution,Basic Screening,GCMSMS,,0,,
6-Jan-14,STRAWBERRY (ALL OR UNSPEC),R14M00006,United States,,No,,Dole,Safeway Distribution Center,Tracy,Chain Distribution,Basic Screening,LCMSMS,PYRACLOSTROBIN,0.044,1.2,0.01
6-Jan-14,STRAWBERRY (ALL OR UNSPEC),R14M00006,United States,,No,,Dole,Safeway Distribution Center,Tracy,Chain Distribution,Basic Screening,LCMSMS,SPIROMESIFEN,0.117,2,0.01
6-Jan-14,STRAWBERRY (ALL OR UNSPEC),R14M00006,United States,,No,,Dole,Safeway Distribution Center,Tracy,Chain Distribution,Basic Screening,GCMSMS,,0,,
6-Jan-14,STRAWBERRY (ALL OR UNSPEC),R14M00006,United States,,No,,Dole,Safeway Distribution Center,Tracy,Chain Distribution,Basic Screening,LCMSMS,ACETAMIPRID,0.163,0.6,0.01
6-Jan-14,STRAWBERRY (ALL OR UNSPEC),R14M00006,United States,,No,,Dole,Safeway Distribution Center,Tracy,Chain Distribution,Basic Screening,LCMSMS,BOSCALID,0.138,4.5,0.01
6-Jan-14,STRAWBERRY (ALL OR UNSPEC),R14M00006,United States,,No,,Dole,Safeway Distribution Center,Tracy,Chain Distribution,Basic Screening,LCMSMS,THIOPHANATE-METHYL,0.079,7,0.01
6-Jan-14,STRAWBERRY (ALL OR UNSPEC),R14M00006,United States,,No,,Dole,Safeway Distribution Center,Tracy,Chain Distribution,Basic Screening,LCMSMS,CHLORANTRANILIPROLE,0.041,1,0.02
6-Jan-14,"PEA, SNOW (SUGAR PEA)",R14M00007,Guatemala,,No,,Fancy Snow Peas,Safeway Distribution Center,Tracy,Chain Distribution,Basic Screening,GCMSMS,,0,,
6-Jan-14,"PEA, SNOW (SUGAR PEA)",R14M00007,Guatemala,,No,,Fancy Snow Peas,Safeway Distribution Center,Tracy,Chain Distribution,Basic Screening,LCMSMS,DIMETHOATE,0.012,2,0.01
6-Jan-14,"BEANS (GREEN, STRING)",R14M00008,Mexico,,Yes,,Real Organics,Safeway Distribution Center,Tracy,Chain Distribution,Basic Screening,GCMSMS,,0,,
6-Jan-14,"BEANS (GREEN, STRING)",R14M00008,Mexico,,Yes,,Real Organics,Safeway Distribution Center,Tracy,Chain Distribution,Basic Screening,LCMSMS,,0,,
6-Jan-14,BRUSSELS SPROUTS,R14M00009,Mexico,,No,,Safeway Farms,Safeway Distribution Center,Tracy,Chain Distribution,Basic Screening,GCMSMS,PERMETHRIN,0.025,1,0.01
6-Jan-14,BRUSSELS SPROUTS,R14M00009,Mexico,,No,,Safeway Farms,Safeway Distribution Center,Tracy,Chain Distribution,Basic Screening,LCMSMS,INDOXACARB,0.023,12,0.02
6-Jan-14,BRUSSELS SPROUTS,R14M00009,Mexico,,No,,Safeway Farms,Safeway Distribution Center,Tracy,Chain Distribution,Basic Screening,GCMSMS,LAMBDA-CYHALOTHRIN,0.013,0.4,0.01
6-Jan-14,BRUSSELS SPROUTS,R14M00009,Mexico,,No,,Safeway Farms,Safeway Distribution Center,Tracy,Chain Distribution,Basic Screening,LCMSMS,PYRACLOSTROBIN,0.017,5,0.01
6-Jan-14,SPINACH,R14M00010,United States,,Yes,,Organics,Safeway Distribution Center,Tracy,Chain Distribution,Basic Screening,LCMSMS,,0,,
6-Jan-14,SPINACH,R14M00010,United States,,Yes,,Organics,Safeway Distribution Center,Tracy,Chain Distribution,Basic Screening,GCMSMS,,0,,
6-Jan-14,"BEANS (GREEN, STRING)",R14M00011,Mexico,,No,,Greenline,Safeway Distribution Center,Tracy,Chain Distribution,Basic Screening,LCMSMS,,0,,
6-Jan-14,"BEANS (GREEN, STRING)",R14M00011,Mexico,,No,,Greenline,Safeway Distribution Center,Tracy,Chain Distribution,Basic Screening,GCMSMS,,0,,
6-Jan-14,SPINACH,R14M00012,United States,,No,,New Star,Safeway Distribution Center,Tracy,Chain Distribution,Basic Screening,LCMSMS,MANDIPROPAMID,3.6,20,0.01
6-Jan-14,SPINACH,R14M00012,United States,,No,,New Star,Safeway Distribution Center,Tracy,Chain Distribution,Basic Screening,LCMSMS,SPINOSAD,0.011,8,0.01
6-Jan-14,SPINACH,R14M00012,United States,,No,,New Star,Safeway Distribution Center,Tracy,Chain Distribution,Basic Screening,LCMSMS,SPIROTETRAMAT,0.134,9,0.01
6-Jan-14,SPINACH,R14M00012,United States,,No,,New Star,Safeway Distribution Center,Tracy,Chain Distribution,Basic Screening,GCMSMS,PERMETHRIN,0.634,20,0.01
6-Jan-14,KALE,R14M00013,United States,,No,,Ratto Bros.,Safeway Distribution Center,Tracy,Chain Distribution,Basic Screening,LCMSMS,MANDIPROPAMID,0.58,25,0.01
6-Jan-14,KALE,R14M00013,United States,,No,,Ratto Bros.,Safeway Distribution Center,Tracy,Chain Distribution,Basic Screening,LCMSMS,FLUOPICOLIDE,0.419,18,0.01
6-Jan-14,KALE,R14M00013,United States,,No,,Ratto Bros.,Safeway Distribution Center,Tracy,Chain Distribution,Basic Screening,GCMSMS,CHLORTHAL-DIMETHYL,0.204,5,0.01
6-Jan-14,KALE,R14M00013,United States,,No,,Ratto Bros.,Safeway Distribution Center,Tracy,Chain Distribution,Basic Screening,LCMSMS,CYAZOFAMID,0.509,12,0.02
6-Jan-14,KALE,R14M00013,United States,,No,,Ratto Bros.,Safeway Distribution Center,Tracy,Chain Distribution,Basic Screening,LCMSMS,FENAMIDONE,0.026,55,0.02
6-Jan-14,KALE,R14M00013,United States,,No,,Ratto Bros.,Safeway Distribution Center,Tracy,Chain Distribution,Basic Screening,LCMSMS,IMIDACLOPRID,0.043,3.5,0.02
6-Jan-14,KALE,R14M00013,United States,,No,,Ratto Bros.,Safeway Distribution Center,Tracy,Chain Distribution,Basic Screening,LCMSMS,PYRACLOSTROBIN,1.2,16,0.01
6-Jan-14,SPINACH,R14M00014,United States,,No,,Ratto Bros.,Safeway Distribution Center,Tracy,Chain Distribution,Basic Screening,LCMSMS,AZOXYSTROBIN,0.033,30,0.01
6-Jan-14,SPINACH,R14M00014,United States,,No,,Ratto Bros.,Safeway Distribution Center,Tracy,Chain Distribution,Basic Screening,GCMSMS,,0,,
6-Jan-14,SPINACH,R14M00014,United States,,No,,Ratto Bros.,Safeway Distribution Center,Tracy,Chain Distribution,Basic Screening,LCMSMS,PYRACLOSTROBIN,0.174,29,0.01
6-Jan-14,"PEA, SNOW (SUGAR PEA)",R14M00015,Guatemala,"Sacatepequez, Guatemala",No,,El Panuel,Safeway Distribution Center,Tracy,Chain Distribution,Basic Screening,LCMSMS,,0,,
6-Jan-14,"PEA, SNOW (SUGAR PEA)",R14M00015,Guatemala,"Sacatepequez, Guatemala",No,,El Panuel,Safeway Distribution Center,Tracy,Chain Distribution,Basic Screening,GCMSMS,,0,,
6-Jan-14,PRICKLYPEAR CACTUS PADS,R14M00017,Mexico,,No,T-001-N14,Cactus Leaf - Ole,Safeway Distribution Center,Tracy,Chain Distribution,Basic Screening,LCMSMS,MONOCROTOPHOS,0.132,NTE,0.01
6-Jan-14,PRICKLYPEAR CACTUS PADS,R14M00017,Mexico,,No,T-001-N14,Cactus Leaf - Ole,Safeway Distribution Center,Tracy,Chain Distribution,Basic Screening,GCMSMS,,0,,
6-Jan-14,PEAR,R14M00018,Korea,,No,,Korean Jumbo Pears,Safeway Distribution Center,Tracy,Chain Distribution,Basic Screening,LCMSMS,,0,,
6-Jan-14,PEAR,R14M00018,Korea,,No,,Korean Jumbo Pears,Safeway Distribution Center,Tracy,Chain Distribution,Basic Screening,GCMSMS,,0,,
7-Jan-14,"BEANS (GREEN, STRING)",R14M00037,Mexico,"Culiacan, Sinaloa, MX",No,,Willy Green Beans,La Esperanza,"Los Banos, CA",Retail,Basic Screening,GCMSMS,,0,,
7-Jan-14,"BEANS (GREEN, STRING)",R14M00037,Mexico,"Culiacan, Sinaloa, MX",No,,Willy Green Beans,La Esperanza,"Los Banos, CA",Retail,Basic Screening,LCMSMS,,0,,
7-Jan-14,BROCCOLI,R14M00038,United States,,No,,Adam Brothers Family Farms,La Esperanza,"Los Banos, Ca",Retail,Basic Screening,GCMSMS,,0,,
7-Jan-14,BROCCOLI,R14M00038,United States,,No,,Adam Brothers Family Farms,La Esperanza,"Los Banos, Ca",Retail,Basic Screening,LCMSMS,,0,,
7-Jan-14,TOMATILLO,R14M00039,Mexico,,No,,Tomatillo (Rodriguez Produce),La Esperanza,"Los Banos, Ca",Retail,Basic Screening,LCMSMS,,0,,
7-Jan-14,TOMATILLO,R14M00039,Mexico,,No,,Tomatillo (Rodriguez Produce),La Esperanza,"Los Banos, Ca",Retail,Basic Screening,GCMSMS,,0,,
7-Jan-14,TOMATILLO,R14M00040,Mexico,,No,,Ciruli Brothers,La Esperanza,"Los Banos, Ca",Retail,Basic Screening,GCMSMS,CHLOROTHALONIL,0.231,6,0.03
