County,Pounds Active Pesticide Ingredient Used,State Ranking,County Area (Square Miles)
Alameda,305138,38,739.02
Alpine,271,58,738.33
Amador ,95998,43,594.58
Butte,2987804,17,1636.46
Calaveras,58683,47,1020.01
Colusa,2484881,18,1150.73
Contra Costa,412703,36,715.94
Del Norte,25006,52,1006.37
El Dorado,155546,41,1707.88
Fresno,31828231,1,5957.99
Glenn,2085121,21,1313.95
Humboldt,36655,50,3567.99
Imperial,5005430,11,4176.6
Inyo,12114,55,10180.88
Kern,27181424,2,8131.92
Kings,6886134,9,1389.42
Lake,581234,34,1256.46
Lassen,116873,42,4541.18
Los Angeles,2077656,22,4057.88
Madera,9584260,5,2137.07
Marin,76885,46,520.31
Mariposa,8748,57,1448.82
Mendocino,889088,31,3506.34
Merced,8953045,7,1934.97
Modoc,91581,44,3917.77
Mono,9885,56,3048.98
Monterey,9389183,6,3280.6
Napa,1372525,26,748.36
Nevada,53695,48,957.77
Orange,919351,30,790.57
Placer,308111,37,1407.01
Plumas,26863,51,2553.04
Riverside,2234831,19,7206.48
Sacramento,4025246,13,964.64
San Benito,660448,33,1388.71
San Bernardino,577939,35,20056.94
San Diego,1617591,24,4206.63
San Francisco,39882,49,46.87
San Joaquin,12025375,4,1391.32
San Luis Obispo,3029013,15,3298.57
San Mateo,260261,39,448.41
Santa Barbara,4782176,12,2735.09
Santa Clara,1319606,27,1290.1
Santa Cruz,1907983,23,445.17
Shasta,247099,40,3775.4
Sierra,12384,54,953.21
Siskiyou,1615802,25,6277.89
Solano,1282937,28,821.77
Sonoma,2211222,20,1575.85
Stanislaus,7076448,8,1494.83
Sutter,3020090,16,602.41
Tehama,857848,32,2949.71
Trinity,22317,53,3179.25
Tulare,14908389,3,4824.22
Tuolumne,83290,45,2220.88
Ventura,6532477,10,1843.13
Yolo,3471719,14,1014.69
Yuba,1031791,29,631.84
